PwnCount,BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,bin,country_id
3994436,26,12,2018,1,0,0,0,0,4,1,0
3966871,15,3,2021,1,0,0,0,0,6,1,0
3924454,28,10,2020,1,0,0,0,0,5,1,0
3883455,7,3,2012,1,0,0,0,0,1,1,0
3867997,21,5,2015,1,1,0,0,0,0,1,0
3830916,8,7,2018,1,0,0,0,0,4,1,49
3827238,27,12,2015,1,0,0,0,0,2,1,1
3805863,1,7,2019,1,0,0,0,0,2,1,0
3756794,23,12,2021,1,0,0,0,0,1,1,0
3675099,19,12,2020,1,0,0,0,0,1,1,0
3670561,28,2,2019,1,0,0,0,0,4,1,0
3619948,17,5,2010,1,0,0,0,0,1,1,0
3589795,1,7,2018,1,0,0,0,0,4,1,0
3512952,6,1,2020,1,1,0,0,0,4,1,16
3474763,11,5,2015,1,0,0,0,0,0,1,0
3472916,4,9,2016,1,0,0,0,0,5,1,0
3465259,19,6,2020,1,0,0,0,0,4,1,0
3439414,4,11,2015,1,0,0,0,0,0,1,7
3430083,24,10,2015,1,0,0,0,0,4,1,0
3395101,30,8,2020,1,0,0,0,0,1,1,0
3385862,19,6,2020,1,0,0,0,0,2,1,0
3264710,31,7,2016,1,0,0,0,0,2,1,42
3225080,12,10,2018,1,0,0,0,0,4,1,0
3122898,22,10,2015,1,0,0,0,0,6,1,0
3117548,12,10,2021,1,0,0,0,0,0,1,0
3081321,25,7,2019,1,0,0,0,0,1,1,0
3073409,10,3,2019,1,0,0,1,0,0,1,0
2987329,22,3,2021,1,0,0,0,0,2,1,0
2983472,7,11,2013,1,0,0,0,0,2,1,0
2964182,28,6,2020,1,0,0,0,0,4,1,32
2856769,14,7,2020,1,0,0,0,0,4,1,0
2811929,14,8,2020,1,0,0,0,0,1,1,0
2789609,16,10,2018,1,0,0,0,0,1,1,0
2743539,14,8,2019,1,0,0,0,0,1,1,0
2682650,1,6,2016,1,0,0,0,0,0,1,0
2660295,20,12,2020,1,0,0,0,0,1,1,0
2639894,1,1,2011,0,0,0,0,0,3,1,0
2628148,10,4,2014,1,0,0,0,0,1,1,0
2520441,26,3,2020,1,0,0,0,0,4,1,0
2491103,1,7,2016,1,0,0,0,0,2,1,28
2481121,4,5,2017,1,0,0,0,0,4,1,0
2479044,2,7,2020,1,0,0,0,0,4,1,0
2467304,10,10,2018,1,0,0,0,0,1,1,0
2461696,22,3,2017,1,0,0,0,0,1,1,0
2460787,1,7,2015,1,0,0,0,0,6,1,8
2457420,18,9,2018,1,0,0,1,0,1,1,0
2424784,4,9,2016,1,0,0,0,0,2,1,7
2376330,11,8,2022,1,0,0,0,0,2,1,0
2357872,1,12,2016,1,0,0,0,0,0,1,0
2330735,27,3,2020,1,0,0,0,0,2,1,0
2330382,1,10,2015,1,0,0,0,0,0,1,17
2325283,1,1,2018,1,0,0,0,0,1,1,8
2257930,14,3,2017,1,0,0,0,0,1,1,3
2247314,7,8,2016,1,0,0,0,0,1,1,9
2231256,15,5,2017,1,0,0,0,0,1,1,0
2192857,10,10,2019,1,0,0,0,0,4,1,0
2191565,15,7,2016,1,0,0,0,0,0,1,0
2156921,30,1,2018,1,0,0,0,0,4,1,0
2136520,12,7,2007,1,0,0,0,0,2,1,0
2107000,18,8,2014,1,0,0,0,0,1,1,0
2064274,1,3,2015,1,0,0,0,0,2,1,0
2021984,9,7,2016,1,1,0,0,0,4,1,0
2013164,13,2,2016,0,1,0,0,0,1,1,0
1957600,12,4,2016,1,0,0,0,0,1,1,29
1921722,22,2,2021,1,0,0,0,0,1,1,0
1906808,7,10,2020,1,0,0,0,0,4,1,0
1871373,1,3,2016,1,0,0,0,0,6,1,0
1858124,16,7,2019,1,0,0,0,0,4,1,6
1834006,20,1,2021,1,0,0,0,0,1,1,0
1771845,1,2,2016,1,0,0,0,0,6,1,0
1749806,1,9,2013,1,0,0,0,0,2,1,0
1697282,1,12,2015,1,0,0,0,0,6,1,0
1688176,21,1,2018,1,0,0,0,0,5,1,24
1619544,9,3,2017,1,0,0,0,0,0,1,0
1604957,14,7,2016,1,0,0,0,0,4,1,0
1583193,8,10,2021,0,0,0,0,0,1,1,0
1580933,2,4,2013,1,0,0,0,0,2,1,39
1580249,27,3,2022,1,0,0,0,0,1,1,3
1557153,1,12,2022,1,0,0,0,0,1,1,15
1541284,25,3,2020,1,0,0,0,0,4,1,0
1535473,29,2,2016,1,0,0,0,0,0,1,0
1531235,18,5,2016,1,0,0,0,0,2,1,0
1506242,24,2,2019,1,0,0,0,0,4,1,0
1488089,4,1,2020,1,0,0,0,0,2,1,16
1476783,29,2,2016,1,0,0,0,0,0,1,0
1464271,6,4,2021,1,0,0,0,0,2,1,0
1460130,12,1,2021,1,0,0,0,0,1,1,0
1444629,22,6,2020,1,0,0,0,0,4,1,0
1436486,6,12,2015,1,0,0,0,0,5,1,0
1436435,21,12,2020,1,0,0,0,0,4,1,7
1431378,27,2,2020,1,0,0,0,0,4,1,0
1422717,26,1,2020,1,1,0,0,0,1,1,0
1414677,1,6,2020,1,0,0,0,0,4,1,0
1410899,14,3,2015,1,0,0,0,0,4,1,0
1408078,4,6,2019,1,0,0,0,0,0,1,0
1398630,14,3,2016,1,1,0,0,0,2,1,0
1383759,10,8,2014,1,0,0,0,0,2,1,0
1372550,1,7,2016,1,0,0,0,0,0,1,0
1370175,1,6,2015,0,1,0,0,0,0,1,0
1369180,25,6,2020,1,0,0,0,0,4,1,0
1327567,21,2,2012,1,1,0,0,0,0,1,0
1324364,29,1,2021,1,0,0,0,0,2,1,7
