BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,country_id,bin
19,6,2020,1,0,0,0,0,4,0,1
4,11,2015,1,0,0,0,0,0,7,1
24,10,2015,1,0,0,0,0,4,0,1
30,8,2020,1,0,0,0,0,1,0,1
19,6,2020,1,0,0,0,0,2,0,1
31,7,2016,1,0,0,0,0,2,42,1
12,10,2018,1,0,0,0,0,4,0,1
22,10,2015,1,0,0,0,0,6,0,1
12,10,2021,1,0,0,0,0,0,0,1
25,7,2019,1,0,0,0,0,1,0,1
10,3,2019,1,0,0,1,0,0,0,1
22,3,2021,1,0,0,0,0,2,0,1
7,11,2013,1,0,0,0,0,2,0,1
28,6,2020,1,0,0,0,0,4,32,1
14,7,2020,1,0,0,0,0,4,0,1
14,8,2020,1,0,0,0,0,1,0,1
16,10,2018,1,0,0,0,0,1,0,1
14,8,2019,1,0,0,0,0,1,0,1
1,6,2016,1,0,0,0,0,0,0,1
20,12,2020,1,0,0,0,0,1,0,1
1,1,2011,0,0,0,0,0,3,0,1
10,4,2014,1,0,0,0,0,1,0,1
26,3,2020,1,0,0,0,0,4,0,1
1,7,2016,1,0,0,0,0,2,28,1
4,5,2017,1,0,0,0,0,4,0,1
2,7,2020,1,0,0,0,0,4,0,1
10,10,2018,1,0,0,0,0,1,0,1
22,3,2017,1,0,0,0,0,1,0,1
1,7,2015,1,0,0,0,0,6,8,1
18,9,2018,1,0,0,1,0,1,0,1
4,9,2016,1,0,0,0,0,2,7,1
11,8,2022,1,0,0,0,0,2,0,1
1,12,2016,1,0,0,0,0,0,0,1
27,3,2020,1,0,0,0,0,2,0,1
1,10,2015,1,0,0,0,0,0,17,1
1,1,2018,1,0,0,0,0,1,8,1
14,3,2017,1,0,0,0,0,1,3,1
7,8,2016,1,0,0,0,0,1,9,1
15,5,2017,1,0,0,0,0,1,0,1
10,10,2019,1,0,0,0,0,4,0,1
15,7,2016,1,0,0,0,0,0,0,1
30,1,2018,1,0,0,0,0,4,0,1
12,7,2007,1,0,0,0,0,2,0,1
18,8,2014,1,0,0,0,0,1,0,1
1,3,2015,1,0,0,0,0,2,0,1
9,7,2016,1,1,0,0,0,4,0,1
13,2,2016,0,1,0,0,0,1,0,1
12,4,2016,1,0,0,0,0,1,29,1
22,2,2021,1,0,0,0,0,1,0,1
7,10,2020,1,0,0,0,0,4,0,1
1,3,2016,1,0,0,0,0,6,0,1
16,7,2019,1,0,0,0,0,4,6,1
20,1,2021,1,0,0,0,0,1,0,1
1,2,2016,1,0,0,0,0,6,0,1
1,9,2013,1,0,0,0,0,2,0,1
1,12,2015,1,0,0,0,0,6,0,1
21,1,2018,1,0,0,0,0,5,24,1
9,3,2017,1,0,0,0,0,0,0,1
14,7,2016,1,0,0,0,0,4,0,1
8,10,2021,0,0,0,0,0,1,0,1
2,4,2013,1,0,0,0,0,2,39,1
27,3,2022,1,0,0,0,0,1,3,1
1,12,2022,1,0,0,0,0,1,15,1
25,3,2020,1,0,0,0,0,4,0,1
29,2,2016,1,0,0,0,0,0,0,1
18,5,2016,1,0,0,0,0,2,0,1
24,2,2019,1,0,0,0,0,4,0,1
4,1,2020,1,0,0,0,0,2,16,1
29,2,2016,1,0,0,0,0,0,0,1
6,4,2021,1,0,0,0,0,2,0,1
12,1,2021,1,0,0,0,0,1,0,1
22,6,2020,1,0,0,0,0,4,0,1
6,12,2015,1,0,0,0,0,5,0,1
21,12,2020,1,0,0,0,0,4,7,1
27,2,2020,1,0,0,0,0,4,0,1
26,1,2020,1,1,0,0,0,1,0,1
1,6,2020,1,0,0,0,0,4,0,1
14,3,2015,1,0,0,0,0,4,0,1
4,6,2019,1,0,0,0,0,0,0,1
14,3,2016,1,1,0,0,0,2,0,1
10,8,2014,1,0,0,0,0,2,0,1
1,7,2016,1,0,0,0,0,0,0,1
1,6,2015,0,1,0,0,0,0,0,1
25,6,2020,1,0,0,0,0,4,0,1
21,2,2012,1,1,0,0,0,0,0,1
29,1,2021,1,0,0,0,0,2,7,1
1,6,2016,1,0,0,0,0,6,0,1
6,1,2021,1,0,0,0,0,4,0,1
29,6,2020,1,0,0,0,0,4,0,1
2,10,2020,1,0,0,0,0,4,55,1
27,3,2020,1,0,0,0,0,1,0,1
25,9,2015,1,0,0,0,0,6,0,1
1,1,2009,1,0,0,0,0,2,0,1
1,9,2014,1,0,0,0,0,1,8,1
19,8,2020,1,0,0,0,0,1,26,1
9,7,2018,1,0,0,0,0,1,0,1
3,8,2019,1,0,0,0,0,4,0,1
27,1,2020,1,0,0,0,0,2,0,1
25,9,2015,1,0,0,0,0,6,0,1
7,10,2018,1,1,0,0,0,0,0,1
17,5,2016,1,1,0,0,0,0,0,1
11,12,2010,1,0,0,0,0,0,0,1
23,10,2015,1,0,0,0,0,6,0,1
25,9,2020,1,0,0,0,0,2,0,1
22,4,2014,1,0,0,0,0,2,0,1
7,9,2014,1,0,0,0,0,0,15,1
1,3,2020,1,0,0,0,0,4,0,1
1,8,2013,1,0,0,0,0,2,0,1
1,12,2015,1,0,0,0,0,0,7,1
1,4,2018,1,0,0,0,0,4,8,1
1,1,2020,1,1,0,0,1,0,0,1
1,12,2016,1,0,0,0,0,2,34,1
30,7,2020,1,0,0,0,0,1,21,1
29,10,2021,1,1,0,0,0,0,0,1
11,11,2015,1,1,0,0,0,0,0,1
1,4,2018,1,0,0,0,0,4,0,1
25,6,2020,1,0,0,0,0,1,35,1
24,8,2012,1,0,0,0,0,2,0,1
15,8,2016,1,0,0,0,0,0,0,1
15,2,2014,1,0,0,0,0,0,0,1
9,5,2016,1,0,0,0,0,5,0,1
7,8,2015,1,0,0,0,0,4,0,1
1,1,2017,1,0,0,0,0,6,0,1
20,6,2020,1,0,0,0,0,2,0,1
4,7,2012,1,0,0,0,0,2,0,1
1,3,2015,1,1,0,0,0,6,0,1
1,1,2017,1,0,0,0,0,2,11,1
1,3,2017,1,0,0,0,0,2,0,1
9,12,2017,1,0,0,0,0,4,0,1
28,6,2016,1,0,0,0,0,4,0,1
16,3,2016,1,0,0,0,0,1,0,1
18,2,2015,1,0,0,0,0,1,8,1
19,1,2017,1,1,0,0,0,6,43,1
31,1,2021,1,0,0,0,0,4,0,1
15,11,2022,1,0,0,0,0,2,5,1
19,7,2016,1,0,0,0,0,0,0,1
1,1,2016,1,0,0,0,0,2,0,1
1,8,2013,1,0,0,0,0,6,0,1
1,1,2016,1,0,0,0,0,2,0,1
20,8,2021,1,0,0,0,0,1,0,1
23,3,2019,1,0,0,0,0,2,0,1
24,12,2011,1,0,0,0,0,0,0,1
16,2,2020,1,0,0,0,0,1,0,1
9,6,2014,1,0,0,0,0,0,0,1
24,10,2008,1,0,0,0,0,5,0,1
30,8,2016,1,0,0,0,0,0,0,1
1,10,2016,1,0,0,0,0,0,0,1
24,11,2014,1,0,0,0,0,0,0,1
1,9,2019,1,0,0,0,0,2,30,1
5,9,2018,1,0,0,0,0,1,0,1
1,1,2016,1,0,0,0,0,0,0,1
1,4,2013,1,1,0,0,0,0,0,1
1,1,2010,1,0,0,0,0,0,6,1
9,1,2017,1,0,0,0,0,4,0,1
26,1,2020,1,0,0,0,0,1,24,1
7,5,2018,1,0,0,0,0,1,0,1
23,6,2014,1,0,0,0,0,0,0,1
1,6,2016,1,0,0,0,0,5,0,1
1,11,2015,1,0,0,0,0,2,8,1
23,6,2020,1,0,0,0,0,1,0,1
28,4,2018,1,0,0,0,0,2,0,1
7,9,2017,1,0,0,0,0,1,54,1
30,1,2017,1,0,0,0,0,4,0,1
8,1,2023,1,0,0,0,0,1,20,1
30,12,2019,1,0,0,0,0,4,0,1
21,7,2019,1,0,0,0,0,6,0,1
22,11,2021,1,0,0,0,0,1,0,1
30,10,2011,1,0,0,0,0,2,36,1
11,7,2015,1,0,0,0,0,6,0,1
27,7,2017,1,0,0,0,0,0,0,1
1,7,2014,1,0,0,0,0,2,0,1
1,12,2015,1,0,0,0,0,2,0,1
14,5,2015,1,0,0,0,0,1,0,1
8,7,2019,1,0,0,0,0,1,0,1
1,7,2016,1,0,0,0,0,2,0,1
1,7,2016,1,0,0,0,0,6,8,1
28,7,2015,1,0,0,0,0,2,0,1
7,6,2018,1,0,0,0,0,0,2,1
11,9,2014,1,0,0,0,0,4,17,1
13,6,2014,1,0,0,0,0,0,0,1
1,1,2020,1,0,0,0,0,0,0,1
16,5,2017,1,0,0,0,0,2,0,1
17,12,2020,1,0,0,0,0,1,0,1
18,9,2015,1,0,0,0,0,0,0,1
8,11,2015,1,0,0,0,0,0,0,1
11,5,2017,1,0,0,0,0,1,0,1
1,1,2014,1,0,0,0,0,2,0,1
19,6,2016,1,0,0,0,0,0,0,1
17,6,2018,1,0,0,0,0,2,0,1
