BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,PwnCount
1,1,2018,1,0,0,0,0,1,464260
25,9,2015,1,0,0,0,0,6,458155
11,7,2012,1,0,0,0,0,0,453427
1,5,2015,1,0,0,0,0,6,452899
1,7,2015,1,0,0,0,0,6,447410
1,7,2015,1,0,0,0,0,6,444767
26,6,2020,1,0,0,0,0,1,444453
26,12,2019,1,0,0,0,0,1,444241
5,10,2020,1,0,0,0,0,1,444224
22,12,2014,1,0,0,0,0,0,442166
5,12,2021,1,0,0,0,1,0,441657
31,10,2013,1,0,0,0,0,2,437928
7,5,2015,1,0,0,0,0,2,435510
25,11,2014,1,0,0,0,0,2,432943
1,2,2015,1,0,0,0,0,6,432552
25,4,2017,1,0,0,0,0,6,428779
26,5,2014,1,0,0,0,0,6,422959
1,1,2019,1,0,0,0,0,1,420873
24,8,2018,1,1,0,0,0,2,411755
2,1,2016,1,0,0,0,0,4,408795
15,12,2016,1,0,0,0,0,0,400260
13,5,2018,1,0,0,0,0,4,398011
5,6,2017,0,0,0,0,0,1,396650
17,5,2019,1,0,0,0,0,4,396533
14,1,2016,1,0,0,0,0,6,395044
10,9,2017,1,0,0,0,0,2,386489
31,1,2017,1,1,0,0,0,0,380830
28,11,2016,1,1,0,0,0,2,377377
12,1,2021,1,1,0,0,0,1,375928
5,1,2022,1,1,0,0,0,1,370794
1,1,2016,1,0,0,0,0,4,368507
2,8,2022,1,0,0,0,0,1,367476
5,12,2016,1,0,0,0,0,6,366140
2,11,2021,1,0,0,0,0,4,362426
16,12,2020,1,0,0,0,0,1,358822
12,12,2013,1,0,0,0,0,6,352120
14,8,2022,1,0,0,0,0,5,349627
11,4,2021,1,0,0,0,0,6,348302
3,6,2016,1,0,0,0,0,2,342913
1,2,2015,1,0,0,0,0,6,341118
11,6,2012,1,0,0,0,0,0,339487
2,7,2015,1,0,0,0,0,6,327314
3,7,2016,1,0,0,0,0,6,326714
25,3,2017,1,0,0,0,0,1,321920
28,10,2021,1,0,0,0,0,1,314290
6,9,2016,1,0,0,0,0,1,307768
28,4,2019,1,0,0,0,0,4,305470
28,12,2021,1,1,0,0,0,6,303877
7,11,2015,1,0,0,0,0,0,297806
18,3,2021,1,1,0,0,0,6,297744
10,10,2019,1,1,0,0,0,6,290955
21,10,2015,1,1,0,0,0,1,287071
